instruction	option_a	option_b	option_c	option_d	answer	id
Comment le Réalisme Défensif et le Réalisme Offensif diffèrent-ils dans leur explication du comportement des États?	Les réalistes défensifs accordent une plus grande importance au rôle des institutions internationales	Les réalistes défensifs accordent moins d'importance aux facteurs géographiques	Les réalistes offensifs accordent plus de priorité à l'intérêt national que les réalistes défensifs.	Les réalistes défensifs croient que les États cherchent avant tout à maximiser leur sécurité, alors que les réalistes offensifs cherchent plutôt à maximiser leur pouvoir.	D	us_foreign_policy/dev/3
Un auditeur trace les numéros de série sur l'équipement vers le sous-grand livre d'un tiers non émetteur. Laquelle des affirmations de gestion suivantes est soutenue par ce test?	Valorisation et allocation	Exhaustivité	Droits et obligations	Présentation et divulgation	B	professional_accounting/dev/4
Supposons que l'élève de votre œil a un diamètre de 5 mm et que vous avez un télescope avec une ouverture de 50 cm. Combien de fois le télescope peut-il rassembler plus de lumière que votre œil?	10000 fois plus	100 fois plus	1000 fois plus	10 fois plus	A	astronomy/dev/2
Les structures homologues sont souvent citées comme preuve du processus de sélection naturelle. Tous les éléments suivants sont des exemples de structures homologues SAUF	les ailes d'un oiseau et les ailes d'une chauve-souris	les nageoires d'une baleine et les bras d'un homme	les nageoires pectorales d'un marsouin et les nageoires d'une phoque	les pattes avant d'un insecte et les membres antérieurs d'un chien	D	high_school_biology/dev/4
Quels sont les paires de déclarations suivantes qui sont toutes les deux vraies (en 2019) ?	Les gens ont tendance à être optimistes quant à leur propre avenir et à l'avenir de leur nation ou du monde.	Les gens ont tendance à être optimistes quant à leur propre avenir mais pessimistes quant à l'avenir de leur nation ou du monde.	Les gens ont tendance à être pessimistes quant à leur propre avenir mais optimistes quant à l'avenir de leur nation ou du monde.	Les gens ont tendance à être pessimistes à la fois quant à leur propre avenir et à l'avenir de leur nation ou du monde.	B	global_facts/dev/0
Un réservoir contient initialement une solution saline de 3 grammes de sel dissous dans 100 litres d'eau. Une solution saline contenant 0,02 gramme de sel par litre d'eau est pulvérisée dans le réservoir à un débit de 4 litres par minute. La solution pulvérisée est continuellement mélangée avec la solution saline dans le réservoir, et le mélange s'écoule du réservoir à un débit de 4 litres par minute. Si le mélange est instantané, combien de grammes de sel sont dans le réservoir après 100 minutes ?	2	2 - e^-2	2 + e^-2	2 + e^-4	D	college_mathematics/dev/1
Un de vos clients en thérapie vous demande conseil pour un bon programme de perte de poids. Vous avez étudié les programmes dans la communauté et vous êtes inscrit au meilleur. Ce programme offre une prime de 50 $ à ses clients pour chaque nouvelle personne qu'ils amènent dans le programme. Dans ces circonstances, votre réponse la plus appropriée serait de	dire à votre client les avantages et les inconvénients de chaque programme que vous connaissez, sauf celui dans lequel vous êtes inscrit	recommander à votre client le programme dans lequel vous êtes inscrit et expliquer de 50 $ de prime que vous allez recevoir	recommander à votre client le programme dans lequel vous êtes inscrit et offrir d'avoir la prime de 50 $ créditée sur le compte de votre client	dire à votre client les avantages et les inconvénients de chaque programme que vous connaissez, mais ne pas réclamer la prime de 50 $ si votre client s'inscrit à votre propre programme	D	professional_psychology/dev/0
Que dire d'un plafond de prix?	Le plafond de prix déplace la courbe de la demande vers la gauche.	Un plafond efficace crée une pénurie du bien.	Le plafond de prix déplace la courbe d'offre du bien vers la droite.	Pour être un plafond efficace, il doit être fixé au-dessus du prix d'équilibre.	D	high_school_microeconomics/dev/3
"Quelle est la meilleure formulation de symbole pour la phrase suivante en PL ?
Les tortues vivent longtemps et sont des créatures heureuses, sauf si elles sont blessées."	(L • H) ≡ I	(L • H) ∨ I	L • (H ∨ I)	L • (H ⊃ R)	B	formal_logic/dev/4
L'étude de la réalité dans son sens le plus large, une enquête sur la nature des éléments de l'univers et des choses qui s'y trouvent, est connue sous le nom de _____.	métaphysique	épistémologie	physique quantique	axiologie	A	philosophy/dev/4
"L'école de jurisprudence ________ postule que la loi repose sur ce qui est ""correct""."	Droit naturel	Analytique	Historique	Sociologique	A	jurisprudence/dev/3
En 2019, à peu près quel pourcentage de Russes disent qu'il est très important d'avoir des médias libres dans notre pays sans censure gouvernementale / étatique?	38%	53%	68%	83%	A	global_facts/dev/3
Dans une organisation, le groupe de personnes chargé des décisions d'achat est appelé _______________.	Unité d'externalisation.	Centre d'approvisionnement.	Unité de direction générale.	Unité de prise de décision.	D	marketing/dev/1
Quelles seraient les conséquences pour l'estimateur OLS si l'hétéroscédasticité est présente dans un modèle de régression mais ignorée?	Il sera biaisé	Il sera non convergent	Il sera inefficace	Les options (a), (b) et (c) seront toutes vraies.	C	econometrics/dev/3
Quel est le signe de l'alliance pour les hommes juifs?	L'arc-en-ciel	La circoncision	Un fils	Bar mitzvah	B	world_religions/dev/0
Si quelqu'un attaque le personnage d'un adversaire au lieu de répondre aux arguments de cet adversaire, la première personne a probablement commis l'une des erreurs logiques suivantes?	tu quoque	horse laugh	argument contre la personne	ignoratio elenchi	C	logical_fallacies/dev/0
"Construisez une table de vérité complète pour les paires de propositions suivantes. Ensuite, en utilisant les tables de vérité, déterminez si les énoncés sont logiquement équivalents ou contradictoires. Sinon, déterminez s'ils sont cohérents ou incohérents. Justifiez vos réponses.
E ⊃ (F · E) et ~E · F"	Logiquement équivalent	Contradictoire	Ni logiquement équivalent ni contradictoire, mais cohérent	Incohérent	C	formal_logic/dev/3
Lequel des éléments suivants n'est pas connu pour être impliqué dans le contrôle de la division cellulaire ?	Cyclines	Kinases protéiques	Points de contrôle	Cellules fibroblastes	D	high_school_biology/dev/3
"Soit A une matrice réelle 2x2. Laquelle des affirmations suivantes doit être vraie ?
I. Toutes les entrées de A^2 sont non négatives.
II. Le déterminant de A^2 est non négatif.
III. Si A a deux valeurs propres distinctes, alors A^2 a deux valeurs propres distinctes."	I seulement	II seulement	III seulement	II et III seulement	B	college_mathematics/dev/2
"Cette question fait référence aux informations suivantes.
""Dans le nouveau Code des lois que je suppose qu'il soit nécessaire pour vous de faire, je souhaite que vous vous souveniez des femmes, et soyez plus généreux et favorable envers elles que vos ancêtres. Ne donnez pas un pouvoir illimité aux maris. Rappelez-vous que tous les hommes seraient des tyrans s'ils le pouvaient. Si une attention particulière n'est pas accordée aux dames, nous sommes déterminées à fomenter une rébellion et ne nous considèrerons pas liées par des lois auxquelles nous n'avons pas voix, ni représentation.""
Abigail Adams, dans une lettre à John Adams, 1776
""La législation spéciale pour les femmes nous a placées dans une position des plus anomalies. Les femmes investies des droits des citoyens dans une section - électeurs, jurés, fonctionnaires - traversent une ligne imaginaire et sont soumises dans la suivante. Dans certains États, une femme mariée peut détenir des biens et effectuer des transactions commerciales en son propre nom ; dans d'autres, ses gains appartiennent à son mari. Dans certains États, une femme peut témoigner contre son mari, intenter des poursuites et subir une action en justice; dans d'autres, elle n'a aucun recours en cas de dommage corporel, matériel ou moral. En cas de divorce pour cause d'adultère du mari, la femme innocente est réputée ne pas avoir le droit aux enfants ou aux biens, à moins qu'il y ait un décret spécial du tribunal. Mais dans aucun État de l'Union, la femme n'a le droit à sa propre personne, ni à une partie des bénéfices communs de la co-entreprise pendant la vie de son mari. Dans certains États, les femmes peuvent entrer dans les facultés de droit et pratiquer dans les tribunaux ; dans d'autres, cela leur est interdit. Dans certaines universités, les filles ont les mêmes avantages éducatifs que les garçons, alors que de nombreuses institutions fières du pays leur refusent l'admission, bien que les fils de Chine, du Japon et d'Afrique y soient les bienvenus. Mais les privilèges déjà accordés dans les différents États ne sont nullement assurés.""
Susan B. Anthony, ""Déclaration des droits des femmes"", 4 juillet 1876
Les sentiments exprimés dans le deuxième extrait de Susan B. Anthony sont probablement en faveur de"	l'amendement sur l'égalité des droits	le suffrage universel	les droits des États	la prohibition	B	high_school_us_history/dev/2
Vous poussez un camion le long d'une route. Serait-il plus facile d'accélérer ce camion sur Mars? Pourquoi? (Supposez qu'il n'y a pas de friction)	Ce serait plus difficile car le camion est plus lourd sur Mars.	Ce serait plus facile car le camion est plus léger sur Mars.	Ce serait plus difficile car le camion est plus léger sur Mars.	Ce serait pareil où que vous soyez.	D	astronomy/dev/0
Quelle position soutient Rawls est la moins susceptible d'être adoptée par le POP (personnes dans la position originale) ?	Le POP choisirait l'égalité plutôt que la liberté.	Le POP opterait pour la stratégie 'maximin'.	Le POP opterait pour le 'principe de différence'.	Le POP rejetterait le 'système de liberté naturelle'.	A	jurisprudence/dev/0
Pour un processus autorégressif stationnaire, les chocs finiront par	S'éteindre finalement	Persistez indéfiniment	Croître exponentiellement	Ne jamais se produire	A	econometrics/dev/0
Un déficit fédéral se produit lorsque	les exportations dépassent les importations.	les importations dépassent les exportations.	les recettes fiscales fédérales dépassent les dépenses.	les dépenses fédérales dépassent les recettes fiscales fédérales.	D	high_school_macroeconomics/dev/2
Comment peut-on décrire les structures organisationnelles caractérisées par des styles de gestion démocratiques et inclusifs?	Hiérarchique	Bureaucratique	Plate	Fonctionnelle	C	management/dev/4
Dans un test génétique d'un nouveau-né, on découvre un trouble génétique rare ayant une transmission récessive liée à l'X. Laquelle des déclarations suivantes est probablement vraie concernant le pedigree de ce trouble?	Tous les descendants du côté maternel auront le trouble.	Les femmes seront environ deux fois plus touchées que les hommes dans cette famille.	Toutes les filles d'un homme affecté seront affectées.	Il y aura une distribution égale d'hommes et de femmes affectés.	C	college_medicine/dev/2
Combien de tentatives devriez-vous faire pour canuler un patient avant de passer le travail à un collègue plus expérimenté, selon les connaissances médicales de 2020?	4	3	2	1	C	clinical_knowledge/dev/3
Pour lequel de ces deux scénarios le personnage principal (qui utilise Je/moi/mon) commet-il clairement une faute morale, selon les normes morales ordinaires aux États-Unis en 2020 ? Scénario 1 | J'ai vraiment adoré mon nouveau-né garçon. Scénario 2 | La nouvelle fille est gênée de vivre dans un parc de caravanes, alors j'invite la classe chez elle.	Faux, Faux	Faux, Pas faux	Pas faux, Faux	Pas faux, Pas faux	C	moral_scenarios/dev/0
Qu'est-ce qui distingue la diplomatie coercitive de la force militaire ?	La contrainte est un autre terme pour la diplomatie coercitive, mais couvre un ensemble de critères plus restreint ; elle englobe les menaces visant à initier une action adversaire. Une menace de forcer un État à abandonner une partie de son territoire serait considérée comme de la diplomatie coercitive, pour autant que cette menace initie de manière proactive l'action avant que la diplomatie réactive ne soit entreprise.	La diplomatie coercitive consiste en des menaces de recours à une force limitée pour inciter l'adversaire à se conformer aux demandes du coerciteur. C'est une stratégie d'influence destinée à obtenir la conformité : l'utilisation de la force pour vaincre un adversaire en premier lieu ne compte pas. Elle laisse une part de choix à la cible pour se conformer ou continuer.	La force militaire ou la menace de force militaire utilise la peur pour atteindre des objectifs stratégiques. La diplomatie coercitive se distingue de cette approche, car elle n'utilise pas la peur comme outil pour contraindre un adversaire.	La diplomatie coercitive est utilisée pour utiliser la force mais pour limiter ses effets sur la communauté internationale. La diplomatie coercitive est une stratégie agressive destinée à obtenir la conformité par la défaite. Elle ne laisse pas de choix à la cible, celle-ci étant soit contrainte de se conformer soit de s'engager dans un conflit. Elle cherche à contrôler en imposant la conformité en supprimant toute possibilité de négociation ou de concession.	B	security_studies/dev/0
La fallacieuse question complexe consiste à	argumenter que quelque chose est inférieur seulement parce qu'il ne fait pas quelque chose pour lequel il n'a jamais été conçu.	inclure plus d'une proposition dans l'affirmation et considérer que la preuve d'une proposition est la preuve de toutes les propositions.	tirer une conclusion avant d'examiner les preuves et ne considérer que les éléments qui soutiennent cette conclusion.	poser une question qui contient soit une hypothèse non prouvée, soit plus d'une question, rendant ainsi une réponse simple par oui ou par non sans signification.	D	logical_fallacies/dev/1
Comment pouvons-nous mieux décrire la relation entre l'approche centrée sur l'État et le concept de sécurité humaine?	Il existe des divisions si importantes au sein du cadre de sécurité humaine concernant la nature des menaces et des objets de référence qu'aucune comparaison largement applicable entre les approches centrées sur l'État et la sécurité humaine ne peut être établie.	En adoptant le cadre de la sécurité humaine, les limites de l'approche réaliste centrée sur l'État deviennent évidentes. Alors que la sécurité humaine définit l'objet de référence comme étant la personne ou la population, les approches centrées sur l'État accordent la priorité à la sécurité de l'État, dépriorisant la poursuite de la sécurité humaine.	L'approche centrée sur l'État de la sécurité est une faction de la sécurité humaine, généralement définie dans l'école large de la sécurité humaine. En étant centrée sur l'État, cette approche accorde la priorité à l'individu en tant qu'objet de référence dans les études de sécurité.	Les approches centrées sur l'État et centrées sur l'humain sont mutuellement exclusives et offrent un cadre analytique suffisant pour comprendre le système de sécurité international. Il appartient donc aux analystes de sécurité de déterminer laquelle de ces notions substantielles est correcte et laquelle doit être rejetée.	B	security_studies/dev/3
Un total de 30 joueurs joueront au basket dans un parc. Il y aura exactement 5 joueurs dans chaque équipe. Quelle déclaration explique correctement comment trouver le nombre d'équipes nécessaires?	Ajoutez 5 à 30 pour trouver 35 équipes.	Divisez 30 par 5 pour trouver 6 équipes.	Multipliez 30 et 5 pour trouver 150 équipes.	Soustrayez 5 de 30 pour trouver 25 équipes.	B	elementary_mathematics/dev/2
Quel est l'exemple suivant de l'utilisation d'un dispositif sur l'Internet des objets (IoT) ?	Une voiture alerte un conducteur qu'elle est sur le point de heurter un objet.	Un randonneur utilise une montre GPS pour suivre sa position.	Un réfrigérateur commande du lait auprès d'un service de livraison en ligne lorsque le lait dans le réfrigérateur est presque épuisé.	Un coureur utilise une montre avec des capteurs optiques pour surveiller son rythme cardiaque.	C	high_school_computer_science/dev/0
"Cette question se réfère aux informations suivantes.
Il contient toutes les oeuvres et tous les désirs ainsi que tous les parfums et tous les goûts. Il englobe l'univers entier et, dans le silence, est aimant envers tous. C'est l'Esprit qui est dans mon coeur, c'est Brahmâ. À lui je devrais venir quand je vais au-delà de cette vie, et à lui viendra celui qui a la foi et ne doute pas.
—Les Upanishads, Inde, c. 1000 av. J.-C.Quelle est la religion à laquelle l'orateur appartient le plus probablement?"	L'hindouisme	Le bouddhisme	Le shintoïsme	Le zoroastrisme	A	high_school_world_history/dev/0
Traditionnellement, lors de l'apprentissage d'un arbre de décision avec une entrée à valeur réelle, nous considérons une séparation binaire en fonction de si l'attribut est supérieur ou inférieur à un certain seuil. Pat suggère plutôt d'avoir une séparation multi-voies avec une branche pour chacune des valeurs distinctes de l'attribut. Choisissez ci-dessous le plus gros problème de la suggestion de Pat :	Cela serait trop coûteux en termes de calculs.	Cela pourrait probablement entraîner un arbre de décision qui obtient de mauvais résultats sur l'ensemble d'entraînement et sur un ensemble de test.	Cela pourrait probablement entraîner un arbre de décision qui obtient de bons résultats sur l'ensemble d'entraînement mais de mauvais résultats sur un ensemble de test.	Cela pourrait probablement entraîner un arbre de décision qui obtient de bons résultats sur un ensemble de test mais de mauvais résultats sur l'ensemble d'entraînement.	C	machine_learning/dev/4
